	Source file	DateTime	Date	Time	Duration(s)	Comments	Total points	Selection type	Components	Beam_Seconds	Beam_Seconds_Int2SE	U238_V	U238_V_Int2SE	Th232_V	Th232_V_Int2SE	U234_cps	U234_cps_Int2SE	Th230_cps	Th230_cps_Int2SE	U234_U238	U234_U238_Int2SE	Th230_U238	Th230_U238_Int2SE	Th232_U238	Th232_U238_Int2SE	Th_ppm	Th_ppm_Int2SE	U_ppm	U_ppm_Int2SE	U234_U238_CORR	U234_U238_CORR_Int2SE	Th230_U238_CORR	Th230_U238_CORR_Int2SE	Th232_U238_CORR	Th232_U238_CORR_Int2SE
G_NIST612_0	Th-U laser_long.FIN_	21/03/2018 (4) 04:52:23.93	21/03/2018 (4)	04:52:23.93	112.23	NIST612	27	Normal	1	-10155	13	1.211	0.038	1.201	0.039	781	27	90.8	3.6	0.1885	0.0018	0.0710	0.0015	0.9915	0.0019	39.0	1.3	38.6	1.2	0.1814	0.0017	0.0778	0.0016	0.33103	0.00063
G_NIST612_1	Th-U laser_long.FIN_	21/03/2018 (4) 04:55:37.89	21/03/2018 (4)	04:55:37.89	112.06	NIST612(2)	27	Normal	1	-9962	13	1.085	0.042	1.069	0.044	698	29	80.2	3.4	0.1872	0.0015	0.0694	0.0016	0.9846	0.0032	34.7	1.4	34.5	1.3	0.1804	0.0014	0.0760	0.0017	0.3287	0.0011
G_NIST612_2	Th-U laser_long.FIN_	21/03/2018 (4) 04:58:51.55	21/03/2018 (4)	04:58:51.55	111.56	NIST612(3)	25	Normal	1	-9768	13	1.140	0.058	1.126	0.060	733	37	83.9	5.1	0.1876	0.0011	0.0696	0.0013	0.9873	0.0039	36.6	2.0	36.3	1.8	0.1811	0.0010	0.0763	0.0015	0.3296	0.0013
G_NIST612_3	Th-U laser_long.FIN_	21/03/2018 (4) 05:55:38.34	21/03/2018 (4)	05:55:38.34	112.13	NIST612(4)	27	Normal	1	-6362	13	1.367	0.079	1.364	0.081	876	50	99.0	5.9	0.1874	0.0014	0.0687	0.0013	0.9975	0.0029	44.3	2.6	43.5	2.5	0.1840	0.0013	0.0759	0.0014	0.33284	0.00096
G_NIST612_4	Th-U laser_long.FIN_	21/03/2018 (4) 05:58:52.27	21/03/2018 (4)	05:58:52.27	111.9	NIST612(5)	26	Normal	1	-6167	13	1.310	0.065	1.291	0.067	835	40	95.5	5.1	0.1878	0.0016	0.0697	0.0018	0.9964	0.0046	41.9	2.2	41.7	2.1	0.1844	0.0016	0.0769	0.0020	0.3325	0.0015
G_NIST612_5	Th-U laser_long.FIN_	21/03/2018 (4) 06:02:06.16	21/03/2018 (4)	06:02:06.16	112.66	NIST612(6)	27	Normal	1	-5973	13	1.165	0.041	1.157	0.044	744	29	83.2	2.9	0.1866	0.0016	0.0686	0.0015	0.9930	0.0031	37.6	1.4	37.1	1.3	0.1832	0.0015	0.0758	0.0017	0.3313	0.0010
G_NIST612_6	Th-U laser_long.FIN_	21/03/2018 (4) 07:22:41.66	21/03/2018 (4)	07:22:41.66	111.67	NIST612(7)	27	Normal	1	-1138	13	1.181	0.057	1.173	0.061	756	41	84.5	4.6	0.1858	0.0011	0.0682	0.0017	0.9919	0.0040	38.0	2.0	37.5	1.8	0.1822	0.0011	0.0761	0.0018	0.3307	0.0013
G_NIST612_7	Th-U laser_long.FIN_	21/03/2018 (4) 07:25:55.41	21/03/2018 (4)	07:25:55.41	111.79	NIST612(8)	27	Normal	1	-943	13	1.184	0.035	1.171	0.039	750	23	86.6	2.8	0.1852	0.0014	0.0695	0.0015	0.9884	0.0042	37.9	1.3	37.6	1.1	0.1818	0.0014	0.0776	0.0017	0.3295	0.0014
G_NIST612_8	Th-U laser_long.FIN_	21/03/2018 (4) 07:29:09.04	21/03/2018 (4)	07:29:09.04	112	NIST612(9)	27	Normal	1	-750	13	1.139	0.036	1.128	0.038	719	23	85.5	3.3	0.1846	0.0010	0.0712	0.0015	0.9903	0.0030	36.6	1.2	36.2	1.1	0.1813	0.0010	0.0795	0.0017	0.3301	0.0010
																																			
