U234_U238,U234_U238_2SE,Th230_U238,Th230_U238_2SE,U_ppm,U_ppm_2SE,x,y,Comments
,,,,,,34.7,17.6,outer surface
,,,,,,34.7,71.1,inner surface
1.2696216,4.21E-03,7.33E-02,2.26E-03,12.3,0.615,34.7,18.8,
1.2729341,4.24E-03,7.32E-02,2.38E-03,12.7,0.635,34.7,21.4,
1.2654235,3.72E-03,7.60E-02,1.77E-03,12.5,0.625,34.7,24.1,
1.2673451,4.54E-03,7.70E-02,1.93E-03,14.2,0.71,34.7,26.7,
1.2691554,2.91E-03,7.21E-02,1.88E-03,19.8,0.99,34.7,29.4,
1.2655151,2.84E-03,7.69E-02,1.67E-03,18,0.9,34.7,32,
1.266979,2.55E-03,8.16E-02,1.69E-03,20,1,34.7,34.7,
1.2760185,2.31E-03,7.86E-02,1.26E-03,2.72E+01,1.36,34.7,37.3,
1.265514,2.28E-03,7.53E-02,1.24E-03,2.67E+01,1.335,34.7,40,
1.2766815,2.10E-03,7.31E-02,9.83E-04,3.00E-01,0.015,34.7,42.6,
1.2706338,2.23E-03,7.79E-02,1.52E-03,3.39E+01,1.695,34.7,45.3,
1.2642664,2.42E-03,6.66E-02,1.38E-03,3.77E+01,1.885,34.7,47.9,
1.2662201,2.73E-03,7.13E-02,1.38E-03,3.07E+01,1.535,34.7,50.6,
1.2649714,2.24E-03,7.73E-02,1.85E-03,2.52E+01,1.26,34.7,53.2,
1.2655783,2.84E-03,8.32E-02,1.47E-03,2.89E+01,1.445,34.7,55.9,
1.2679863,2.64E-03,8.64E-02,1.62E-03,2.90E+01,1.45,34.7,58.5,
1.2644629,2.58E-03,8.16E-02,1.62E-03,2.75E+01,1.375,34.7,61.2,
1.2627009,2.00E-03,7.04E-02,1.32E-03,3.01E+01,1.505,34.7,63.8,
1.2658484,4.71E-03,9.53E-02,1.75E-03,1.96E+01,0.98,34.7,66.5,
1.2626681,3.16E-03,9.58E-02,2.32E-03,1.48E+01,0.74,34.7,69.1,
