Sample_ID,Source file,DateTime,Date,Time,Duration(s),Comments,Total points,Selection type,Components,Beam_Seconds,Beam_Seconds_Int2SE,U238_CPS,U238_CPS_Int2SE,U238_V,U238_V_Int2SE,Th232_V,Th232_V_Int2SE,U234_cps,U234_cps_Int2SE,Th230_cps,Th230_cps_Int2SE,U234_U238,U234_U238_Int2SE,Th230_U238,Th230_U238_Int2SE,Th232_U238,Th232_U238_Int2SE,Th_ppm,Th_ppm_Int2SE,U_ppm,U_ppm_Int2SE,U234_U238_CORR,U234_U238_CORR_Int2SE,Th230_U238_CORR,Th230_U238_CORR_Int2SE,Th232_U238_CORR,Th232_U238_CORR_Int2SE
CMF_F4_1,Th-U laser_long.FIN_,19/12/2018 (4) 07:36:47.45,19/12/2018 (4),36:47.4,102.63,CMF-F4,25,Normal,1,-9526,12,0.0081,0.00097,0.0081,0.00097,0.0048,0.0014,36.2,4.8,7.42,0.85,1.313,0.056,0.901,0.085,0.56,0.11,0.152,0.045,0.239,0.029,1.277,0.054,1.036,0.097,0.198,0.04
CMF_F4_2,Th-U laser_long.FIN_,19/12/2018 (4) 07:40:35.12,19/12/2018 (4),40:35.1,119.08,CMF-F4(1),28,Normal,1,-9293,13,0.00689,0.00037,0.00689,0.00037,0.00295,0.00049,30.6,2.1,6.61,0.59,1.297,0.055,0.908,0.06,0.419,0.05,0.094,0.016,0.203,0.011,1.262,0.053,1.044,0.069,0.149,0.018
CMF_F4_3,Th-U laser_long.FIN_,19/12/2018 (4) 07:44:22.28,19/12/2018 (4),44:22.3,118.85,CMF-F4(2),28,Normal,1,-9065,13,0.00856,0.00028,0.00856,0.00028,0.00535,0.00085,37.8,1.7,7.99,0.59,1.29,0.039,0.884,0.055,0.62,0.092,0.171,0.027,0.2524,0.0084,1.255,0.038,1.017,0.064,0.221,0.033
CMF_F4_4,Th-U laser_long.FIN_,19/12/2018 (4) 07:48:09.46,19/12/2018 (4),48:09.5,118.7,CMF-F4(3),29,Normal,1,-8837,13,0.01052,0.00079,0.01052,0.00079,0.0058,0.0011,45,3.2,9.41,0.68,1.258,0.044,0.875,0.053,0.531,0.086,0.184,0.037,0.31,0.023,1.223,0.043,1.007,0.061,0.189,0.031
CMF_F4_5,Th-U laser_long.FIN_,19/12/2018 (4) 07:51:55.45,19/12/2018 (4),51:55.4,118.66,CMF-F4(4),28,Normal,1,-8612,13,0.00884,0.00079,0.00884,0.00079,0.00422,0.00049,39.4,4,7.8,0.88,1.264,0.035,0.834,0.056,0.482,0.04,0.135,0.016,0.261,0.023,1.229,0.034,0.959,0.064,0.172,0.014
CMF_F4_6,Th-U laser_long.FIN_,19/12/2018 (4) 07:55:42.52,19/12/2018 (4),55:42.5,119.15,CMF-F4(5),28,Normal,1,-8383,13,0.00787,0.0005,0.00787,0.0005,0.00357,0.00048,34.4,2.5,7.14,0.6,1.277,0.045,0.846,0.051,0.451,0.048,0.114,0.015,0.232,0.015,1.242,0.043,0.973,0.059,0.161,0.017
CMF_F4_7,Th-U laser_long.FIN_,19/12/2018 (4) 07:59:30.79,19/12/2018 (4),59:30.8,120.25,CMF-F4(6),29,Normal,1,-8154,13,0.00789,0.00054,0.00789,0.00054,0.00346,0.00049,35.6,3.3,7.16,0.81,1.278,0.046,0.851,0.063,0.444,0.05,0.11,0.016,0.232,0.016,1.243,0.044,0.979,0.073,0.158,0.018
CMF_F4_8,Th-U laser_long.FIN_,19/12/2018 (4) 08:03:18.40,19/12/2018 (4),03:18.4,119.75,CMF-F4(7),29,Normal,1,-7927,13,0.00687,0.00057,0.00687,0.00057,0.00354,0.00069,30.8,4.4,8,3.7,1.297,0.083,1.02,0.31,0.517,0.098,0.113,0.022,0.203,0.017,1.261,0.081,1.18,0.35,0.184,0.035
CMF_F4_9,Th-U laser_long.FIN_,19/12/2018 (4) 08:07:15.38,19/12/2018 (4),07:15.4,104.96,CMF-F4(8),25,Normal,1,-7697,12,0.00778,0.00088,0.00778,0.00088,0.00271,0.00034,35.6,4.9,7.5,1.3,1.279,0.067,0.94,0.12,0.349,0.048,0.087,0.011,0.229,0.026,1.244,0.065,1.08,0.13,0.124,0.017
CMF_F4_10,Th-U laser_long.FIN_,19/12/2018 (4) 08:10:55.91,19/12/2018 (4),10:55.9,113.11,CMF-F4(9),27,Normal,1,-7472,13,0.00874,0.00044,0.00874,0.00044,0.00443,0.00066,37.9,2.1,7.83,0.59,1.284,0.053,0.865,0.066,0.506,0.069,0.141,0.021,0.258,0.013,1.249,0.052,0.996,0.076,0.181,0.025
CMF_F4_11,Th-U laser_long.FIN_,19/12/2018 (4) 08:14:42.75,19/12/2018 (4),14:42.8,117.44,CMF-F4(10),28,Normal,1,-7243,13,0.01221,0.0008,0.01221,0.0008,0.0076,0.0015,53.1,3.7,10.18,0.84,1.273,0.037,0.789,0.037,0.61,0.11,0.242,0.047,0.36,0.023,1.238,0.036,0.908,0.042,0.217,0.038
CMF_F4_12,Th-U laser_long.FIN_,19/12/2018 (4) 08:18:27.24,19/12/2018 (4),18:27.2,90.178,CMF-F4(11),22,Normal,1,-7033,12,0.0158,0.0025,0.0158,0.0025,0.0074,0.002,71,11,12,2.1,1.296,0.035,0.69,0.044,0.443,0.07,0.237,0.065,0.467,0.074,1.26,0.034,0.794,0.05,0.158,0.025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWUY_F1_1,Th-U laser_long.FIN_,19/12/2018 (4) 08:57:42.34,19/12/2018 (4),57:42.3,114.89,CWUY-F1,28,Normal,1,-4666,13,0.01083,0.00072,0.01083,0.00072,0.024,0.0017,37.9,3.7,10.9,1.7,1.033,0.06,0.97,0.13,2.25,0.14,0.765,0.053,0.319,0.021,1.004,0.058,1.11,0.15,0.802,0.05
CWUY_F1_2,Th-U laser_long.FIN_,19/12/2018 (4) 09:01:22.45,19/12/2018 (4),01:22.5,114.94,CWUY-F1(1),27,Normal,1,-4446,13,0.01291,0.00091,0.01291,0.00091,0.0305,0.003,46.5,3.6,11.22,0.91,1.019,0.036,0.806,0.048,2.38,0.3,0.972,0.097,0.38,0.027,0.99,0.035,0.927,0.055,0.85,0.11
CWUY_F1_3,Th-U laser_long.FIN_,19/12/2018 (4) 09:05:02.70,19/12/2018 (4),05:02.7,114.91,CWUY-F1(2),27,Normal,1,-4227,13,0.0174,0.0037,0.0174,0.0037,0.0329,0.0037,74,19,19.4,6.6,1.14,0.1,1.02,0.3,2.07,0.22,1.05,0.12,0.51,0.11,1.108,0.097,1.18,0.34,0.738,0.077
CWUY_F1_4,Th-U laser_long.FIN_,19/12/2018 (4) 09:08:42.56,19/12/2018 (4),08:42.6,114.98,CWUY-F1(3),27,Normal,1,-4007,13,0.0211,0.002,0.0211,0.002,0.056,0.0071,72.4,6.6,19.3,2.1,1.007,0.035,0.876,0.067,2.69,0.3,1.79,0.23,0.622,0.059,0.979,0.034,1.008,0.077,0.96,0.11
CWUY_F1_5,Th-U laser_long.FIN_,19/12/2018 (4) 09:12:20.07,19/12/2018 (4),12:20.1,115.47,CWUY-F1(4),27,Normal,1,-3789,13,0.014,0.0018,0.014,0.0018,0.0267,0.002,61,20,18,9.3,1.11,0.23,1.09,0.55,2.05,0.14,0.852,0.062,0.412,0.052,1.08,0.22,1.26,0.63,0.731,0.049
CWUY_F1_6,Th-U laser_long.FIN_,19/12/2018 (4) 09:16:02.88,19/12/2018 (4),16:02.9,114.64,CWUY-F1(5),27,Normal,1,-3566,13,0.01115,0.00071,0.01115,0.00071,0.0244,0.0018,39.8,3.2,9.7,1.2,1.046,0.047,0.794,0.053,2.14,0.12,0.776,0.057,0.329,0.021,1.017,0.045,0.913,0.061,0.764,0.043
CWUY_F1_7,Th-U laser_long.FIN_,19/12/2018 (4) 09:19:42.62,19/12/2018 (4),19:42.6,115.2,CWUY-F1(6),27,Normal,1,-3346,13,0.0153,0.0026,0.0153,0.0026,0.0277,0.0018,58,13,15.8,4,1.06,0.043,0.905,0.045,1.93,0.22,0.882,0.056,0.45,0.077,1.031,0.042,1.041,0.052,0.688,0.08
CWUY_F1_8,Th-U laser_long.FIN_,19/12/2018 (4) 09:23:22.98,19/12/2018 (4),23:23.0,114.59,CWUY-F1(7),28,Normal,1,-3125,13,0.01432,0.00087,0.01432,0.00087,0.0342,0.0038,48.6,3.4,12.14,0.96,0.991,0.036,0.802,0.051,2.37,0.2,1.09,0.12,0.422,0.026,0.964,0.035,0.922,0.059,0.845,0.07
CWUY_F1_9,Th-U laser_long.FIN_,19/12/2018 (4) 09:27:02.81,19/12/2018 (4),27:02.8,115.34,CWUY-F1(8),27,Normal,1,-2905,13,0.01149,0.00076,0.01149,0.00076,0.0251,0.0015,41.8,3.9,10.6,1.1,1.047,0.035,0.851,0.048,2.172,0.079,0.799,0.047,0.339,0.022,1.019,0.034,0.978,0.055,0.775,0.028
CWUY_F1_10,Th-U laser_long.FIN_,19/12/2018 (4) 09:30:43.00,19/12/2018 (4),30:43.0,114.58,CWUY-F1(9),27,Normal,1,-2686,13,0.009,0.00052,0.009,0.00052,0.0205,0.0042,30.6,1.9,7.72,0.62,0.991,0.042,0.822,0.077,2.23,0.39,0.65,0.13,0.265,0.015,0.964,0.041,0.946,0.089,0.8,0.14
CWUY_F1_11,Th-U laser_long.FIN_,19/12/2018 (4) 09:34:22.85,19/12/2018 (4),34:22.9,81.095,CWUY-F1(10),19,Normal,1,-2481,11,0.0115,0.00076,0.0115,0.00076,0.0267,0.0028,41.9,4.9,13.5,5.2,1.058,0.075,1.09,0.35,2.27,0.23,0.851,0.088,0.339,0.022,1.029,0.072,1.25,0.41,0.808,0.083
CWUY_F1_12,Th-U laser_long.FIN_,19/12/2018 (4) 09:38:02.79,19/12/2018 (4),38:02.8,24.144,CWUY-F1(11),6,Normal,1,-2290.5,6.4,0.0128,0.0023,0.0128,0.0023,0.0255,0.0033,43.7,9.5,11.4,2.1,0.99,0.05,0.847,0.043,2.05,0.37,0.81,0.11,0.378,0.069,0.963,0.049,0.974,0.049,0.73,0.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_MK10_1,Th-U laser_long.FIN_,19/12/2018 (4) 05:50:59.21,19/12/2018 (4),50:59.2,118.03,MK10,28,Normal,1,-15867,13,0.111,0.0038,0.111,0.0038,0.0000132,0.0000093,422,16,94.4,4,1.111,0.012,0.806,0.015,0.000121,0.000084,0.00042,0.0003,3.27,0.11,1.08,0.011,0.927,0.017,0.000043,0.00003
C_MK10_2,Th-U laser_long.FIN_,19/12/2018 (4) 05:54:46.69,19/12/2018 (4),54:46.7,120.82,MK10(2),29,Normal,1,-15639,13,0.1049,0.0032,0.1049,0.0032,0.0000087,0.0000073,397,13,88.4,3.2,1.107,0.01,0.799,0.017,0.000084,0.000075,0.00028,0.00023,3.092,0.096,1.0762,0.0099,0.919,0.02,0.00003,0.000027
C_MK10_3,Th-U laser_long.FIN_,19/12/2018 (4) 05:58:37.19,19/12/2018 (4),58:37.2,120.83,MK10(3),29,Normal,1,-15408,13,0.0979,0.0026,0.0979,0.0026,0.0000128,0.0000071,372.8,9.9,82.4,2.2,1.113,0.011,0.799,0.015,0.00013,0.000072,0.00041,0.00023,2.887,0.078,1.083,0.011,0.919,0.017,0.000046,0.000026
