"","U234_U238","U234_U238_2SE","Th230_U238","Th230_U238_2SE","U_ppm","U_ppm_2SE","x","y","Comments"
"1",NA,NA,NA,NA,NA,NA,34.7,17.6,"outer surface"
"2",NA,NA,NA,NA,NA,NA,34.7,71.1,"inner surface"
"3",1.2696216,0.00421,0.0733,0.00226,12.3,0.615,34.7,18.8,""
"4",1.2729341,0.00424,0.0732,0.00238,12.7,0.635,34.7,21.4,""
"5",1.2654235,0.00372,0.076,0.00177,12.5,0.625,34.7,24.1,""
"6",1.2673451,0.00454,0.077,0.00193,14.2,0.71,34.7,26.7,""
"7",1.2691554,0.00291,0.0721,0.00188,19.8,0.99,34.7,29.4,""
"8",1.2655151,0.00284,0.0769,0.00167,18,0.9,34.7,32,""
"9",1.266979,0.00255,0.0816,0.00169,20,1,34.7,34.7,""
"10",1.2760185,0.00231,0.0786,0.00126,27.2,1.36,34.7,37.3,""
"11",1.265514,0.00228,0.0753,0.00124,26.7,1.335,34.7,40,""
"12",1.2766815,0.0021,0.0731,0.000983,0.3,0.015,34.7,42.6,""
"13",1.2706338,0.00223,0.0779,0.00152,33.9,1.695,34.7,45.3,""
"14",1.2642664,0.00242,0.0666,0.00138,37.7,1.885,34.7,47.9,""
"15",1.2662201,0.00273,0.0713,0.00138,30.7,1.535,34.7,50.6,""
"16",1.2649714,0.00224,0.0773,0.00185,25.2,1.26,34.7,53.2,""
"17",1.2655783,0.00284,0.0832,0.00147,28.9,1.445,34.7,55.9,""
"18",1.2679863,0.00264,0.0864,0.00162,29,1.45,34.7,58.5,""
"19",1.2644629,0.00258,0.0816,0.00162,27.5,1.375,34.7,61.2,""
"20",1.2627009,0.002,0.0704,0.00132,30.1,1.505,34.7,63.8,""
"21",1.2658484,0.00471,0.0953,0.00175,19.6,0.98,34.7,66.5,""
"22",1.2626681,0.00316,0.0958,0.00232,14.8,0.74,34.7,69.1,""
