Sample_ID,U234_U238,U234_U238_2SE,Th230_U238,Th230_U238_2SE,Th232_U238,Th232_U238_2SE
YP002A,1.150152675,0.004934205,0.7936937,0.006899884,0.010355765,5.29E-05
YP002B,1.120052787,0.004030626,0.78770627,0.006031052,0.004010384,2.27E-05
YP003-1_1,1.124593604,0.004235887,0.751677759,0.010490128,0.000417784,5.83E-06
YP003-1_2,1.112925287,0.007007604,0.760814295,0.010973498,0.000125266,1.81E-06
YP003-1_3,1.122426514,0.004830026,0.747568265,0.007898483,0.000788977,8.34E-06
YP003-1_4,1.121848969,0.005227036,0.726169559,0.006829737,0.001336362,1.26E-05
YP003-1_5,1.119027396,0.006008304,0.756579165,0.006386637,0.001755852,1.48E-05
YP002-1_1,1.129394868,0.006176485,0.722333276,0.008100071,0.000781709,8.77E-06
YP002-1_2,1.137076409,0.005134617,0.767199647,0.007900638,0.001340258,1.38E-05
YP002-1_3,1.118201426,0.007614366,0.738686302,0.00867103,0.001845544,2.17E-05
YP002-1_4,1.11439617,0.006026841,0.749108013,0.008142096,0.002589329,2.81E-05
YP002-1_5,1.105115089,0.007429385,0.764126238,0.011173742,0.002754283,4.03E-05
